gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
10134	MIM300398														
10135	MIM608764														
10137	MIM607179														
10138	MIM607534														
10139	MIM604699														
1014	MIM603118														
10140	MIM605523														
10142	MIM604001	MIM611820													
10143	MIM613588														
10144	MIM613299														
10146	MIM608431														
10147	MIM607993														
10148	MIM605816														
10149	MIM300572														
1015	MIM603017														
10150	MIM607327														
10152	MIM606442														
10153	MIM612828														
10154	MIM604259														
10155	MIM601742														
10156	MIM607943														
10157	MIM238700	MIM268700	MIM605113												
10158	MIM607178														
10159	MIM300423	MIM300556													
1016	MIM603019														
10160	MIM602654														
10161	MIM609239														
10162	MIM611950														
10163	MIM605875														
10165	MIM603471	MIM603859	MIM605814												
10166	MIM238970	MIM603861													
10167	MIM603855														
10169	MIM605054														
1017	MIM116953														
10170	MIM612131														
10171	MIM611405														
10172	MIM606956														
10174	MIM610795														
10175	MIM611287														
10178	MIM300588														
10179	MIM612413														
1018	MIM123828														
10180	MIM606886														
10181	MIM606884														
10184	MIM609718														
10186	MIM606710														
10188	MIM606994														
10189	MIM604171														
1019	MIM123829	MIM609048													
10190	MIM612564														
10194	MIM607842	MIM614427													
10195	MIM601110	MIM608750													
10196	MIM603190														
10197	MIM605129														
10198	MIM605501														
10199	MIM605503														
102	MIM602192														
1020	MIM123831														
10200	MIM605500														
10201	MIM608294														
10203	MIM114190														
10204	MIM605813														
10205	MIM604873														
10206	MIM605661														
10207	MIM603199														
1021	MIM603368														
10210	MIM609507	MIM609923													
10211	MIM606998														
10213	MIM607173														
10214	MIM300325														
10215	MIM606386														
10216	MIM208250	MIM604283													
10217	MIM608592														
10219	MIM604874														
1022	MIM601955														
10220	MIM603936														
10221	MIM609461														
10223	MIM602171														
10224	MIM606697														
10225	MIM211750	MIM605039	MIM606037												
10226	MIM602702														
10227	MIM610977														
10228	MIM603944														
10229	MIM601683														
10231	MIM604876														
10232	MIM601051														
10235	MIM605577														
10236	MIM607201														
10237	MIM610790														
10238	MIM605973														
10239	MIM602416														
1024	MIM603184														
10240	MIM611992														
10241	MIM604587														
10242	MIM605214														
10243	MIM149400	MIM252150	MIM603930												
10244	MIM605962														
10245	MIM300249														
10246	MIM611049														
10247	MIM602487														
10248	MIM606113														
10249	MIM607424														
1025	MIM603251														
10250	MIM605975														
10251	MIM300531														
10252	MIM602465														
10253	MIM602466														
10254	MIM606244														
10256	MIM603272														
10257	MIM605250														
1026	MIM116899														
10260	MIM600382														
10261	MIM606222														
10262	MIM154400	MIM605593													
10265	MIM606195	MIM611174													
10266	MIM605154														
10267	MIM605153														
10268	MIM605155														
10269	MIM275210	MIM606480	MIM608612												
1027	MIM600778	MIM610755													
10270	MIM604692														
10272	MIM605343														
10273	MIM607207														
10274	MIM604358														
10276	MIM606450														
10277	MIM613565														
10278	MIM609906														
10279	MIM607169														
1028	MIM130650	MIM600856	MIM614732												
10280	MIM601978	MIM614373													
10281	MIM604829														
10282	MIM605456														
10284	MIM602949														
10285	MIM603519														
10286	MIM605783														
10287	MIM605071														
10288	MIM604815														
1029	MIM151623	MIM155601	MIM155755	MIM600160	MIM606719										
10291	MIM605595														
10293	MIM605958														
10294	MIM611322														
10295	MIM614901														
10296	MIM606801														
10297	MIM612034														
10298	MIM605451														
10299	MIM613297														
103	MIM127400	MIM146920													
1030	MIM600431														
10300	MIM602703														
10301	MIM605765														
10302	MIM605979														
10305	MIM156232														
10306	MIM116600														
10307	MIM602711														
10308	MIM604752														
10309	MIM607752														
1031	MIM603369														
10311	MIM605298														
10312	MIM259700	MIM604592													
10313	MIM604249														
10314	MIM604155														
10316	MIM604153														
10317	MIM604066														
10318	MIM607714														
10319	MIM604349	MIM614115													
1032	MIM600927														
10320	MIM603023														
10324	MIM607701														
10325	MIM300725														
10326	MIM603889														
10327	MIM103830														
10328	MIM604886														
10329	MIM605862														
1033	MIM123832														
10330	MIM605861														
10331	MIM605863														
10332	MIM605872														
10333	MIM605403														
10335	MIM604673														
10342	MIM602498	MIM604484	MIM612237												
10343	MIM604670														
10344	MIM604697														
10345	MIM603283	MIM604772													
10346	MIM606559														
10347	MIM605414														
10349	MIM612508														
10350	MIM612507														
10351	MIM612505														
10352	MIM604733														
1036	MIM603943														
10360	MIM606456														
10361	MIM608073														
10362	MIM605535														
10363	MIM605534														
10365	MIM602016														
10367	MIM605084														
10368	MIM606403														
10369	MIM602911	MIM614256													
10370	MIM602937	MIM614431	MIM614433												
10371	MIM603961	MIM614897													
10376	MIM602530														
10379	MIM147574														
